name,refcount
libreoffice-fresh-nr,1
glava,1
lua51-luv,1
libisl.so,143
haskell-digest,15
python-django-haystack,4
haskell-yesod-persistent,6
thin-provisioning-tools,5
gtranslator,1
tealdeer,1
tomcat10,1
gnote,1
tesseract-data-ori,1
perl-io-socket-inet6,10
snes9x,1
cervisia,3
pflogsumm,1
ruby-faraday-net_http,8
python-dbus-client-gen,2
rhvoice-voice-leticia-f123,1
gambas3-gb-inotify,1
haskell-gi,27
spectmorph-tools,2
wit,1
cacti,1
apr-util,16
python-arpy,1
ocaml-zarith,1
spotify-launcher,1
python-dirty-equals,2
dav1d,947
pbzip2,2
texlive-langczechslovak,1
multimon-ng,1
haskell-tasty-quickcheck,3
hunspell-es_co,1
gobject-introspection-runtime,284
libwhereami.so,3
aml,1
linux-headers,1
fcitx5-qt,8
python-anyjson,4
passim,5
ephoto,1
jdk-openjdk,1
lib32-mpg123,4
libreoffice-fresh-te,1
tp_smapi-lts,1
haskell-rebase,2
acorn,4
rhvoice-voice-irina,1
fvextra,2
qt5-purchasing,2
shaderc,604
perl-yaml-pp,7
rust-kanban,1
libreoffice-still-sv,1
paraview,1
python-termstyle,1
python-ptyprocess,59
python-flask-appconfig,1
libcairomm-1.0.so,31
yabridge,1
lapack-doc,1
perl-email-mime-modifier,3
yank,1
python-junit-xml,2
mesa-libgl,7
perl-test-memory-cycle,1
php-legacy-geoip,1
haskell-easy-file,45
perl-crypt-passwdmd5,1
python-aiosmtpd,3
vim-spell-tn,1
iptux,1
python-dbus,35
perl-alien-build,20
libreoffice-still-sq,1
fcitx5-bamboo,1
php-legacy-xsl,1
firefox-developer-edition-i18n-uz,1
firefox-i18n-sat,1
python-flufl-lock,5
lib32-libbpf,1
doublecmd-qt6,1
testdisk,1
dexed-vst3,2
haskell-selective,7
podman-docker,1
lua52-luaossl,2
python-mulpyplexer,1
perl-lwp-protocol-https,12
haskell-js-dgtable,34
rapidfuzz-cpp,1
libclthreads.so,2
rocksndiamonds-contrib,1
ttc-iosevka-slab,1
postfix-ldap,1
chmlib,6
gnome-usage,1
elf2uf2-rs,1
librest-demos,1
haskell-primitive-unaligned,5
rhvoice-voice-magda,1
gwenview,3
popeye,1
haskell-random,403
hss,1
hdf5-openmpi,8
torrential,1
kdevelop-php,3
linenoise-ng,1
kodi-addon-visualization-spectrum,1
deepin-qt6integration,4
ruby-bake-modernize,1
ruby-nats-pure,1
lz4,5832
kfilemetadata5,7
libreoffice-still-tn,1
python-requests-ntlm,2
notepadqq,1
spdlog,142
hunspell-es_cu,1
libreoffice-fresh-fi,1
ruby-metadata_json_deps,1
libfontconfig.so,175
qcoro-qt5,1
python-hglib,1
alex,1
jasper-doc,1
mako,1
jadx,1
python-cachecontrol,6
libidn11,2
openmw,1
haskell-hspec-expectations,21
setbfree,1
haskell-natural-transformation,1
perl-mail-spf,4
deepin-compressor,1
gtk-sharp-2,3
python-libusb1,5
rtorrent,1
haskell-bindings-dsl,1
libreoffice-still-ja,1
python-pyphen,2
libtecla,3
qt5-examples,1
perl-mime-tools,8
libmesode-doc,1
python-watchfiles,3
cross,1
lib32-libxcrypt,83
libreoffice-still-th,1
libxml++2.6,11
dagger,1
dotnet-sdk-6.0,1
chess-tui,1
haskell-mod,36
python-click-aliases,2
spring,1
libevent-2.1.so,4
haskell-lua,26
chrpath,1
tinyionice,1
haskell-ci,1
bash-completion,2
gir-to-d,1
termscp,1
libutempter,46
imake,1
python-fpylll,4
perl-http-date,79
odin2-synthesizer-vst3,2
kdegraphics-mobipocket,4
perl-poe-component-client-http,1
python-tpm2-pytss,2
libsndfile.so,751
openxr,10
gambas3-gb-term,2
perl-pkgconfig,1
haskell-mmap,35
grilo,6
perl-soap-lite,2
opengv,1
libreoffice-fresh-kk,1
soapyaudio,1
haskell-lambdahack,2
libvisual,2
firefox-i18n-tr,1
gnome-shell-extension-appindicator,1
lxappearance-obconf,1
ltrace,1
master_me,1
kidletime5,11
vim-bufexplorer,1
smtp-forwarder,2
python-hawkauthlib,2
hound,1
ogre,1
haskell-sbv,3
gtkmm-4.0,6
python-pyqtgraph,3
pantheon-shortcut-overlay,1
kcpuid,1
httplz,1
flawfinder,1
openblas64,3
lib32-libshout,2
libboost_python312.so,4
gcolor3-xorg,1
qt5-lottie,1
foomatic-db-ppds,1
haskell-retry,6
xscreensaver,3
slop,2
ttf-gohu-nerd,1
syndicationd,1
cron,5
snes9x-gtk,1
polkit,628
libbs2b.so,600
python-pyhcl,1
python-sarif-om,2
ruby-fiddle,1
python-pyotp,12
aspell-ca,1
greetd,4
kaddressbook,3
kchmviewer,1
kget,3
haskell-rsa,4
confuse,54
vivid,1
thunderbird-i18n-et,1
perl-dbd-sqlite,7
aeolus,1
haskell-equivalence,3
ot-simian-standalone,1
wofi,1
tnftp,1
libgdk_pixbuf-2.0.so,299
haskell-gi-dbusmenugtk3,3
haskell-status-notifier-item,3
rsync,25
lincity-ng,1
opensearch-security-plugin,1
util-linux,2946
haskell-pretty-show,52
cherrytree,1
ruby-marcel,1
wingpanel-indicator-notifications,1
python-pytest-xprocess,1
grafx2,1
python-netcdf4-openmpi,1
perl-dbd-sybase,1
python-dnslib,3
tesseract-data-fra,1
ruby-abbrev,1
mate-user-guide,1
maui-pix,1
tinysparql-docs,1
python-discid,3
python-htmlmin,2
libmatio,2
haskell-dyre,2
perl-http-cookiejar,56
ruby-method_source,4
python-pyrate-limiter,1
dns-over-https,1
libsignal-protocol-c,6
haskell-ghcide,29
lmdbxx,1
osm2pgsql,2
lazarus-qt6,1
vue-typescript-plugin,1
gssdp,343
perl-variable-magic,25
haskell-utf8-string,119
lua52-basexx,2
reapack,1
lib32-vulkan-icd-loader,12
stress-ng,1
python-cookiecutter,4
haskell-leancheck,2
deepin-network-core,5
python-curio,1
aspnet-runtime,2
pantheon-mail,1
python-softlayer-zeep,1
haskell-tuple-th,1
hunspell-hu,1
hiredis,9
deepin-gtk-theme,11
pahole,8
polyphone,1
greetd-gtkgreet,1
stochas-vst3,2
ttf-khmer,1
python-h11,35
qxmpp-qt5,2
python-distorm,1
python-markups,2
python-pytest-mpl,1
lib32-libnsl,50
intel-oneapi-openmp,40
dsniff,1
otf-monaspace,1
step-cli,1
blisp,1
python-asn1crypto,8
asciidoc,1
haskell-gtk-sni-tray,2
python-nose2,1
argbash,1
srslte-avx2,1
rednotebook,1
libmount.so,4328
libcanberra.so,9
haskell-hls-eval-plugin,2
web-ext,1
clusterssh,1
xorg-fonts-100dpi,1
hitch,1
deepin-terminal-gtk,1
linux-firmware-mellanox,1
ejabberd,1
libgnuradio-blocks.so,2
libreoffice-still-bo,1
haskell-xml-types,65
python-slugify,12
cloc,1
haskell-pcre-heavy,1
lib32-jansson,1
python-ipycanvas,2
lv2-host,67
firefox-i18n-pa-in,1
python-pypcode,2
feeluown-kuwo,1
vorta,1
liblzo2.so,3
python-sphinxcontrib-spelling,1
libnsl.so,9
perl-set-infinite,4
ruby-build-files,2
haskell-lua-arbitrary,2
haskell-floskell,3
gst-plugin-libcamera,1
haskell-microlens,36
borg,4
openrgb,1
libreoffice-fresh-pt,1
perl-test-spec,1
xorg-fonts-misc,3
perl-devel-cycle,2
ocaml-logs,3
gdk-pixbuf2,1767
ruby-unicode-display_width,5
libreoffice-still-sdk,1
ruby-tzinfo,4
stylus,1
ot-cryptid-docs,1
libjson-c.so,3224
python-cachetools,28
cargo-zigbuild,1
doublecmd-qt5,1
haskell-network-run,1
haskell-input-parsers,4
haskell-gi-overloading,27
intel-oneapi-common,45
gimp-help-el,1
ksvg,69
glib-networking,1274
jp2a,1
passff-host,2
libteam-docs,1
audacious,1
coin-or-csdp,1
xmldiff,1
opensearch-dashboards-index-management-plugin,1
terminology,1
nvidia-container-toolkit,1
ruby-net-http-persistent,1
ruby-test-queue,1
gnu-efi,1
immich-go,1
cargo-expand,1
lib32-xcb-util-keysyms,7
kodi-addon-imagedecoder-heif,1
ocrad,1
perl-email-send,2
devhelp,2
firewalld,1
python-tzlocal,10
python-pyqt6-datavisualization,1
otf-crimson,1
ldc,1
sdl2_image,37
python-distutils-extra,1
libreoffice-fresh-ml,1
opensearch-repository-hdfs-plugin,1
lxqt-build-tools,1
lib32-glew,3
libcryptui,4
haskell-hspec,12
python-httpretty,1
perl-shell-config-generate,2
python-mongomock,1
python-ipyparallel,1
perl-string-format,2
libreoffice-fresh-fr,1
libcrypto.so,4330
haskell-htf,1
slimevolley,1
libshumate,3
sfml,7
perl-ntlm,2
opensearch-repository-s3-plugin,1
nemo-image-converter,1
scour,2
dbus-units,2841
libfm-gtk2,3
plasma-pass,1
coin-or-data-sample,9
python-pylink-square,4
twolame,49
prometheus-node-exporter,1
rocm-hip-runtime,11
python-mediafile,2
kde-inotify-survey,3
drone-runner-docker,1
perl-env-shellwords,1
haskell-bytestring-to-vector,4
qjournalctl,1
ipp-usb,1
firefox-i18n-kk,1
intel-tbb,16
polkit-kde-agent,3
ruby-syntax,1
postfix-pcre,1
haskell-config-value,5
snorenotify,1
broot,1
ddcutil,14
kplotting5,6
libglib-2.0.so,3865
qspectrumanalyzer,1
squeekboard,3
haskell-aeson-better-errors,2
haskell-text-builder,14
python-prctl,1
haskell-universe-base,9
perl-io-multiplex,3
aha,4
libreoffice-extension-writer2latex,1
libpcsclite.so,10
aws-c-auth,8
gambas3-gb-openssl,1
ruby-gdk4,2
libopenal.so,2
python-mccabe,10
blackmagic,1
qt5-translations,606
libhandy,53
lua53-loadkit,1
qmdnsengine,2
python-dbapi-compliance,1
perl-math-random-isaac,8
mdbook,2
glhack,1
pantheon-default-settings,1
zettlr,1
haskell-hls-retrie-plugin,2
python-mpris2,1
perl-mouse,6
kexec-tools,8
connman,1
ocaml-result,3
python-ypy-websocket,1
rhvoice-voice-clb,1
keditbookmarks,3
libspecbleach.so,1
libgnome-keyring,14
ibus-anthy,1
ncrack,1
or1k-elf-gdb,1
gnome-chess,1
tesseract-data-hat,1
dtkgui,46
odin2-synthesizer,1
libcontentaction,1
lib32-wayland,34
python-ply,12
libreoffice-still-nso,1
qt5-webglplugin,1
dragonfly-reverb,1
haskell-commutative-semigroups,9
libreoffice-fresh-mr,1
haskell-toml-parser,10
xcursor-themes,1
qjackctl,1
blas64-openblas,2
openmpi-docs,1
terminus-font,2
kodi-platform,3
python-aniso8601,3
texlive-langfrench,1
libwebpmux.so,158
libinih,108
sslsplit,1
ranger,1
libmysofa,1
espflash,1
smbnetfs,1
libdeflate,852
libreoffice-fresh-fy,1
python-agate-excel,2
bluedevil,3
meson-python,1
rpg-cli,1
moosefs,1
package-notes,1
check,3
libpangomm-1.4.so,27
xwax,1
calligra,1
python-dom-toml,4
libssh,634
python-mitmproxy-rs,3
repgrep,1
cpanminus,1
alligator,3
xfce4-time-out-plugin,1
python-geopandas,1
ponyc,1
mpop,1
dino,1
python-patsy,2
lua52,53
libxkbfile,334
firefox-developer-edition-i18n-sat,1
guetzli,1
plasma-workspace,14
haskell-generic-data,7
qemu-guest-agent,1
python-html2text,6
gunicorn,6
python-llfuse,2
lua51-std-normalize,1
xautolock,1
ibus-unikey,1
opensearch-dashboards-maps-plugin,1
libcalfbox-lss,4
dash,1
perl-data-hierarchy,1
python-elasticsearch,1
lib32-libindicator-gtk3,1
gnome-text-editor,1
libeditline.so,4
hunspell-es_py,1
deepin-clipboard,1
python-pdm,1
function2,1
frei0r-plugins,8
btrfs-heatmap,1
ttf-junicode,1
libformw.so,13
avogadro-molecules,6
umoci,1
portaudio,705
python-cython-lint,1
python-pysol_cards,2
python-apispec,2
python-venusian,1
python-mysqlclient,1
python-publicsuffix2,6
llvm14-libs,5
nuget,1
lemurs,1
python-myst-parser,1
ocaml-compiler-libs,12
startdde,20
haskell-ipython-kernel,2
