name,refcount
libtruss-clojure,3
fonts-telu-extra,3
libghc-fingertree-doc,1
xineliboutput-sxfe,1
golang-github-fatih-set-dev,2
libplack-middleware-cache-perl,1
libghc-data-clist-dev-0.2-4dde4,2
incron,1
libreoffice-help-sv,1
r-cran-squarem,51
libmusicbrainz5cc2v5,25
libghc-djinn-lib-dev,2
kannel-dev,1
libqdjango-dev,1
boogie,1
libhttpunit-java-doc,1
libpbkdf-ocaml,1
ruby-state-machines-activerecord,1
xmotd,1
tesseract-ocr-script-taml,4
libosmosim2,8
python-txtorcon-doc,1
limnoria,1
libc6-hppa-cross,34
libstdc++6-hppa-cross,11
php-nette-utils,7
libghc-show-combinators-dev,2
librlog-dev,1
pristine-lfs,2
gerbera,1
libghc-scotty-doc,1
python3-vcstools,28
libghc-hs-bibutils-dev,2
gem-plugin-vlc,1
node-browserify,1
libmono-btls-interface4.0-cil,1
golang-github-gosuri-uiprogress-dev,2
libwf-config-dev,2
thc-ipv6,1
python3-pygtrie,3
libperlio-via-dynamic-perl,3
node-libs-browser,1
python3-octavia-dashboard,1
ruby-omniauth,24
libghc-yi-language-doc,1
bumps-private-libs,1
node-postcss-preset-evergreen,1
qml-module-org-kde-quickcharts,28
node-dagre-layout,2
cdbs,4
libbigstringaf-ocaml-mfvh7,4
python3-django-redis-sessions,1
libnss-winbind,1
libhepmc3-search-dev,1
libmarisa-perl,1
libghc-transformers-base-dev,2
ppsh,1
cpl-plugin-muse-doc,1
libevdev-doc,1
libcwidget-doc,1
chasen-dictutils,4
python3-os-traits,60
qml-module-qtquick-particles2,10
gccgo-multilib-mipsisa32r6el-linux-gnu,1
libbctoolbox1,33
php-illuminate-container,13
populations,1
gdc-11-mipsisa32r6el-linux-gnu,2
librust-weezl+std-dev,1
libghc-tagstream-conduit-doc,1
mir-test-tools,2
tryton-modules-sale-credit-limit,2
claws-mail-doc,1
libat-at-clojure,2
xnee-doc,1
libghc-void-prof-0.7.3-25622,8
onboard,2
libghc-static-hash-dev-0.0.2-b8848,2
libxcb-render-util0-dev,4
berkeley-abc,6
when,1
librust-linear-map+serde-dev,1
libgrammatica-java,1
libencode-imaputf7-perl,3
mupen64plus-audio-all,3
librust-utf8-width-0.1+default-dev,4
libppix-utils-perl,5
libnfnetlink0,152
gir1.2-goffice-0.10,4
libx32ubsan1,46
smpeg-plaympeg,1
python3-versioneer,2
qml-module-qtqml-workerscript2,1
libghc-cryptostore-dev-0.2.3.0-67c5a,2
dnsdiag,1
libtex-encode-perl,1
cutefish-core,1
libvalapanel-dev,1
ruby-clutter-gtk,1
librust-linux-raw-sys+compiler-builtins-dev,2
libcgroup2,16
r-bioc-scater,1
vala-panel-plugins-wnck,1
librust-enumflags2-derive-0.6.4+not-literal-dev,1
rnp,1
libchi-perl,13
librasqal3,100
libz-dev,19
dict-freedict-eng-hun,1
libconfig-file-perl,2
ruby-signet,14
geki2,1
dict-freedict-spa-por,1
librust-thread-local-1.1+default-dev,1
libghc-hsx-jmacro-prof-7.3.8.2-9762e,1
xindy,1
golang-github-moul-http2curl-dev,2
python3-urwid-satext,3
binaryen,2
rplay-contrib,1
libghc-topograph-doc,1
libkf5su5,19
golang-gopkg-warnings.v0-dev,6
libinotify-ocaml-dy636,1
librust-argon2rs+simd-dev,1
librobust-http-client-java-doc,1
cowbuilder,2
apertium-bel-rus,1
fonts-samyak-deva,4
libghc-gtk-prof,1
libkpimgapimaps5,2
libghc-regex-base-dev,2
libpgobject-util-pseudocsv-perl,1
libmp3spi-java,1
libcogl-pango-dev,9
librust-vte-dev,1
python3-xrayutilities,4
r-cran-locfit,20
libjcsp-java-doc,1
colortail,1
libpluto-jpl-eph-dev,1
ruby-generator-spec,1
libmaven-mapping-java,2
libmaven-file-management-java-doc,1
php-gearman,1
python3-cloudpickle,28
python3-dacite,3
r-cran-cyclocomp,2
firetools,1
libstdc++-12-dev-x32-cross,20
python3-installer,3
python3-cdo,1
libkf5ksieveui5,10
ruby-sawyer,6
libghc-generic-deriving-dev-1.14.2-b435f,8
libglobus-xio-popen-driver-dev,5
golang-github-dgraph-io-ristretto-dev,4
python-itango-doc,1
python3-karborclient,3
libuima-addons-java,1
librust-libc-0.2+default-dev,307
python3-simpleobsws,1
libuno-salhelpergcc3-3,214
libmoox-locale-passthrough-perl,12
libnss-wrapper,1
libscm-dev,1
libgav1-bin,1
golang-github-vividcortex-ewma-dev,8
liblist-utilsby-xs-perl,1
isbg,1
firefox-esr-l10n-bn,3
ibritish-huge,1
tesseract-ocr-enm,4
dict-freedict-ita-ell,1
libnet-dpap-client-perl,1
grub-invaders,1
libdb5.3-java-dev,1
gokey,1
fonts-bwht,1
libwss4j-java,1
liblistserialsj1,6
libextractor-plugin-ogg,2
travis,1
lemonldap-ng-fastcgi-server,4
libappmenu-gtk-parser-dev-common,3
go-org,1
ruby-ldap,1
rust-clippy,2
libglobus-xio-gridftp-multicast-dev,1
libpst-dev,1
golang-github-toqueteos-webbrowser-dev,1
r-cran-optimparallel,3
libhat-trie0,2
scrot,5
libghc-url-dev,2
openal-info,1
fonts-gujr-extra,3
claws-mail-libravatar,2
php-phpdocumentor-reflection-docblock,3
libghc-time-compat-doc,1
libghc-heist-prof,1
librust-trust-dns-server+backtrace-dev,1
win32-loader,1
libjson-simple-java,28
liblzo2-dev,9
rime-data-terra-pinyin,3
skopeo,3
libopencsd-dev,1
libgtp-dev,1
python3-uranium,3
libtools-cli-clojure,26
golang-github-jacobsa-crypto-dev,1
abs-guide,1
liblbfgsb-examples,1
libghc-cpu-prof,1
r-cran-epir,1
enlightenment-dev,1
libghc-attoparsec-iso8601-prof,1
librust-xcb-dev,5
gobjc-11-multilib-s390x-linux-gnu,2
tdb-dev,1
gnumach-dev,1
grabc,1
libghc-openpgp-asciiarmor-prof,1
openocd,2
pyspectral-bin,1
golang-github-safchain-ethtool-dev,17
python3-ghdiff,1
dict-freedict-pol-ind,1
libgv-lua,1
libbatik-java,120
libsafe-hole-perl,3
hisat2,4
libweb-mrest-perl,1
libxcb-randr0,5195
libmailtools-perl,139
node-define-properties,71
python3-objgraph,1
python3-pytest-order,1
cpu-checker,1
r-cran-rglwidget,1
python3-neovim,1
r-cran-rmutil,4
liblmdb-dev,3
psl-make-dafsa,1
librust-hashbrown-0.12+nightly-dev,1
fluidr3mono-gm-soundfont,2
alsaplayer-text,1
neutron-plugin-openvswitch,1
gdb-avr,1
gir1.2-cloudproviders-0.3.0,2
libgnuradio-radar3.10.0,2
librust-regex+perf-dev,3
libvanessa-socket2,8
rust-web-lldb,1
libglib2.0-cil-dev,6
youtube-dl,2
slang-xfig,1
slic3r-prusa,1
php-mcrypt-all-dev,1
cpluff-loader,2
python3-ngs,1
nexuiz,1
libghc-twitter-types-lens-dev-0.11.0-72fd5,2
kinput2-wnn,1
libgcc-s1,47361
minetest-mod-meshport,1
libcdio-cdda-dev,3
python-pyinotify-doc,1
pluma-plugins,1
libcwiid1,13
python3-wsaccel,21
librust-starship-module-config-derive-dev,1
gnat-12-sh4-linux-gnu,1
plasma-settings,2
dh-lisp,1
fwupd-tests,1
libopusfile0,145
librust-bytecheck-dev,2
gdc-11-multilib-mipsel-linux-gnu,1
libdata-page-pageset-perl,11
graphite-web,1
python3-mirtop,2
librust-goblin+archive-dev,1
node-babel-plugin-polyfill-corejs3,17
usbtop,1
git-imerge,1
python3-hashids,1
librust-rfc822-sanitizer-dev,1
libgraphics-magick-perl,6
r-bioc-basilisk.utils,2
libfile-find-wanted-perl,4
python3-vsts-cd-manager,1
python3-flake8-2020,1
golang-github-gin-gonic-gin-dev,15
libjs-jquery-scrollto,4
libgd-ocaml-dev,2
iraf-sptable,1
node-package-preamble,1
libequinox-concurrent-java,1
qtserialport5-doc-html,2
gobjc-11-s390x-linux-gnu,4
libghc-lua-prof-2.1.0-c511d,4
libghc-yi-keymap-vim-prof,1
ruby-jekyll-commonmark,1
xfconf,91
libghc-panic-prof-0.4.0.1-95384,3
node-streamtest,1
twinvoicerecalc,1
libc3p0-java,17
metacam,3
libjs-browser-request,1
python3-kazoo,148
sssd-krb5,12
binutils-powerpc64le-linux-gnu-dbg,1
openmpi-gcc,2
wxedid,1
libgetfem5,6
libwps-0.4-4,33
ohcount,1
librust-stdweb-derive-dev,1
python3-pyclipper,13
ruby-axiom-types,2
libghc-qrencode-dev,2
scanmem,2
r-cran-exactranktests,3
librnd3-pixmap,7
libhealpix0,2
apertium-ind-zlm,2
freetable,1
librust-pest-generator-2-dev,1
beneath-a-steel-sky,1
ruby-tool,1
mariadb-plugin-rocksdb,1
tinyproxy-bin,2
libghc-citeproc-prof,1
librust-hex-0.4+default-dev,7
libcob5,3
ruby-rack-google-analytics,1
gwaterfall,2
libspglib-f08-1,2
gccgo-12-alpha-linux-gnu,2
mgitstatus,1
android-libbase-dev,4
libsdl-ocaml-dev,2
golang-github-zyedidia-glob-dev,1
texlive-base,161
libtree-sitter0,6
guile-2.2,3
libncursesw5-dev,3
apt-config-icons-large-hidpi,1
telegram-desktop,1
libghc-abstract-par-dev-0.3.3-973ea,4
gem-plugin-assimp,1
libtest-mockrandom-perl,2
libxml-security-c20,20
cairo-dock-gnome-integration-plug-in,1
librust-serde-derive-1.0.152+default-dev,1
crypt++el,1
codeblocks-contrib,1
python3-unittest2,187
exfatprogs,40
libxenmisc4.17,10
librust-trust-dns-server+dns-over-rustls-dev,2
astro-development,1
dx,1
python3-sqlite-fts4,2
librust-zip-dev,1
python3-setproctitle,128
mutter,3
node-loud-rejection,3
golang-github-docker-go-events-dev,16
libhowardhinnant-date-dev,1
aspell-nl,1
libdevel-stacktrace-withlexicals-perl,1
tryton-modules-sale-history,3
libsort-fields-perl,1
nmapsi4,1
libghc-mono-traversable-prof,1
libghc-configfile-dev,2
libgettextpo-dev,1
binutils-x86-64-kfreebsd-gnu-dbg,1
precious,1
libctpl-dev,1
libbinio1v5,8
libnet-https-nb-perl,1
php8.2-tideways,3
libxvmc-dev,2
openkim-models,1
qtspeech5-examples,1
libstxxl1v5,3
libace-flreactor-dev,1
libtest-tempdir-tiny-perl,1
libclojure-java,125
librust-encoding-index-korean-dev,1
astap-cli,1
libnet-dns-resolver-mock-perl,1
libgfal2-dev,1
node-arg,2
libchicken11,3
graphlan,1
python3-pytestqt,1
weex,1
perl-modules-5.36,12601
liblog-contextual-perl,5
libstdcompat-ocaml,1
libguestfs-dev,3
libsys-gamin-perl,1
librust-cxx-build-dev,1
libboost-system1.74-dev,194
libinterimap,3
hippotat-common,3
vboot-utils,2
libhtml-stripscripts-perl,3
nrefactory-samples,1
statserial,1
python-openstackclient-doc,1
tryton-modules-party-relationship,2
libzita-convolver-dev,1
librust-enum-ordinalize-3+default-dev,2
gccgo-12-multilib-mips-linux-gnu,2
detox,1
libu1db-qt5-doc,1
r-cran-pracma,8
librust-xcb-1+xkb-dev,1
libtrilinos-pike-dev,3
nscd,3
libghc-hxt-prof,1
scram-gui,1
gir1.2-webkit2-4.1,63
ruby-rspec-junit-formatter,1
librust-config-dev,1
charliecloud-runtime,3
libfreehep-graphicsio-java-java,1
libnfc-dev,3
libpopt-dev,10
libghc-language-c99-simple-dev,2
firefox-esr-l10n-ko,3
python3-tornado,139
python3-location,2
python-bioxtasraw-doc,1
libmodule-install-rdf-perl,4
librust-xml-rs-dev,1
gnustep-devel,1
kile-doc,1
libshine-ocaml-dev,1
libghc-hsopenssl-x509-system-prof,1
libkf5tnef5,9
librust-tokio-1+sync-dev,25
glance-common,4
python3-django-constance,1
artfastqgenerator-examples,1
python3-spyder-kernels,9
fonts-sil-gentium-basic,8
librust-memsec+alloc-dev,2
libfs-dev,2
freedink-engine,2
libshout3,512
libwayland-server++1,2
librust-merge-derive-dev,1
libreact-ocaml-06r30,11
ruby-ace-rails-ap,1
connectome-workbench-dbg,1
r-bioc-degreport,1
python3-pyodc-docs,1
rt4-doc-html,1
libevhtp-dev,1
librust-pkg-version-impl-0.1+default-dev,1
ubuntu-packaging-guide-html-ru,1
libghc-tasty-checklist-prof,1
lximage-qt-l10n,1
python3-memprof,1
libduktape207,248
libchipcard-data,6
libgoogle-api-services-sheets-java,2
liblerc-dev,387
node-unique-stream,6
uclibc-source,1
subtitlecomposer,1
pokerth-server,1
libmoosex-types-perl-perl,49
libexpat-dev,11
wodim,10
kodi-peripheral-joystick,1
rpm-i18n,1
libghc-iospec-prof,1
librust-libsqlite3-sys-0.25+min-sqlite-version-3-7-16-dev,1
myspell-pt,1
r-cran-gbutils,5
python3-throttler,4
libjets3t-java-doc,1
librust-num-iter-dev,3
libghc-yesod-form-prof-1.7.3-3ecf8,4
libvisp-visual-features-dev,7
ruby-grpc-tools,1
ubuntu-packaging-guide-epub-de,1
setcd,1
libghc-hspec-prof,1
biogenesis,1
libghc-iso8601-time-prof,1
python3-monasca-statsd,1
rungetty,1
gcc-m68k-linux-gnu,5
grpc-proto,1
fcitx-table-cantonese,1
librte-net-af-packet23,6
golang-github-vividcortex-mysqlerr-dev,1
lld-15,3
libghc-numtype-dk-doc,1
liboauth2-0,5
libipa-hbac-dev,1
lib4ti2-dev,1
librust-pyo3-build-config-0.17+extension-module-dev,1
libtexluajit-dev,1
libghc-irc-prof,1
python3-luma.oled,1
libbusiness-edifact-interchange-perl,1
bitlbee-dev,1
libpocl2,18
glslc,1
libmonitoring-livestatus-perl,2
ruby-rubygems,1476
lib32gcc-12-dev-mips64r6el-cross,20
libkf5xmlrpcclient5,2
rmagic,1
fcitx5-table-malayalam-phonetic,1
fcitx-table-jyutping,1
ant-contrib-cpptasks,1
variety,1
kde-config-mobile-networking,1
python3-sniffio,24
openhpid,3
king-probe,1
kissfft-tools,1
libpng-tools,1
libisnativec-java-doc,1
libghc-contravariant-extras-prof,1
libkf5calendarcore5abi2,57
build-essential,88
systemsettings,12
libtrove3-java,10
fntsample,1
siftool,1
pike8.0-odbc,2
libvirt-glib-1.0-0,9
postgresql-15-rum,1
python3-zfpy,1
libkf5configgui5,672
libtext-csv-encoded-perl,3
xplot-xplot.org,1
librust-delegate-dev,1
libskypat-dev,1
libcrypto++-utils,1
python3-python-flask-jwt-extended,1
python-flask-session-doc,1
python3-ipywidgets,15
libghc-yi-core-prof-0.19.2-10e74,7
libcec-dev,1
libghc-snap-prof,1
libboost-date-time-dev,59
golang-github-go-macaron-bindata-dev,1
libbellesip1,9
librust-parsec-interface-dev,1
dnsdbq,1
myspell-nb,1
python3-rope,10
gdc-12-mipsel-linux-gnu,4
libtest-is-perl,1
libghc-gi-freetype2-prof-2.0.2-3a436,1
libquvi-scripts-0.9,5
libatteanx-serializer-rdfa-perl,1
libmtbl-dev,1
libva2,1076
libwbclient0,135
llvm-13-tools,6
python3-pyshp,5
libghc-hslua-prof,1
libcanary-stability-perl,1
node-graphlib,1
kdepim-runtime,13
libips4o-dev,2
libghc-http-link-header-prof-1.2.1-8419d,1
python3-guizero,2
libqmenumodel-dev,1
tesseract-ocr-script-deva,4
node-pump,30
librygel-renderer-gst-2.8-0,4
r-cran-fftw,2
libreoffice-l10n-bs,2
fp-units-fv,1
ubuntu-packaging-guide-pdf-es,1
golang-github-mattn-go-xmpp-dev,1
golang-github-armon-go-socks5-dev,3
fonts-gujr,2
python3-pskc,2
libipmiconsole-dev,1
libflext-pd0,3
sreview-master,1
libjs-i18next-http-backend,2
poezio,1
golang-github-russellhaering-goxmldsig-dev,1
python3-project-generator-definitions,4
libglu1-mesa-dev,351
lib64go21-mips-cross,4
python3-nose-yanc,1
libmshr-dev-common,5
ipcalc-ng,1
sudoku,1
libdapl2,3
python3-pymongo-ext,1
python-sphinx-multiversion-doc,1
libghc-shake-doc,1
r-cran-prettycode,2
librust-ansi-term+derive-serde-style-dev,1
python3-magnum,4
libguestfs-java,1
fonts-deva,2
libopenjpip-dec-server,2
python3-bqplot,1
libghc-unicode-collation-prof-0.1.3.3-72821,2
munipack-core,4
dropbear-run,1
musepack-tools,1
r-cran-tkrplot,1
indi-beefocus,1
librust-tokio-1+signal-dev,1
librdf-trinex-serializer-mockturtlesoup-perl,3
php-symfony-http-kernel,17
libpulse-java,1
libghc-edit-distance-dev-0.2.2.1-cc475,7
python3-pytest-random-order,1
libustr-1.0-1,3
lf,1
libpass-otp-perl,1
libcapi20-dev,1
python3-virtualsmartcard,2
r-cran-rnetcdf,3
qterm,1
python3-django-push-notifications,1
txt2tags,1
libghc-servant-client-core-prof-0.19-3ea69,1
slepc64-dev,1
barrier,1
librust-pyo3-build-config-0.17+abi3-py38-dev,2
libnvidia-egl-wayland-dev,1
libmu-perl,1
printer-driver-c2050,2
tf,1
libghc-uuid-prof-1.3.15-7363c,1
clang-15,23
golang-github-newrelic-go-agent-dev,2
python3-sword,1
vnlog,3
librust-rustix-0.35+process-dev,1
libdune-grid-doc,1
libn32gfortran-11-dev-mipsel-cross,2
libgroovycsv-java,1
libtotem-plparser-common,70
cloud-image-utils,4
g++-mingw-w64-i686-win32,4
librust-addr2line+std-object-dev,2
libmseed2,4
nginx-core,1
librust-hexplay-dev,1
icingaweb2-module-audit,1
golang-gopkg-h2non-filetype.v1-dev,1
python3-django-memoize,1
uwsgi-plugin-rbthreads,2
libsquashfs-dev,1
libmono-system-reactive-debugger2.2-cil,36
libghc-servant-server-prof,1
python-flaskext.wtf-doc,1
dh-nss,1
libmousex-nativetraits-perl,25
libgnuradio-osmosdr0.2.0,5
librte-dma-hisilicon23,6
libpmemobj1,3
libportaudio-ocaml,2
libtinygltf2d,7
librust-trust-dns-proto-0.22+dns-over-https-rustls-dev,3
libxcb1,12802
dict-freedict-fin-jpn,1
libblis-serial-dev,1
mutt,2
python3-annexremote,4
golang-github-beevik-ntp-dev,1
libpseudo,2
python3-azure,15
libghc-set-extra-prof,1
libreoffice-l10n-da,4
libocamlgraph-ocaml-dev,2
python3-cloudkittyclient,4
hunspell-de-de,4
librust-dav1d-sys-dev,1
liboptions-java-doc,1
libpicocontainer-java,2
yadifa,1
libcdk-java,7
minetest-mod-craftguide,1
soundstretch,1
libghc-commonmark-pandoc-prof,1
libyaramod-dev,1
libghc-charset-dev-0.3.9-4f2d0,4
guitarix-common,2
di,1
at-spi2-doc,1
libjsoup-java-doc,1
myspell-pt-br,1
librust-url+serde-dev,1
task-belarusian-kde-desktop,1
libpciaccess0,5618
librust-chrono-0.4+std-dev,3
guile-library,1
libghc-easy-file-dev-0.2.2-113e6,2
m4,178
