name,refcount
calligrawords-data,5
xssproxy,1
openstack-cluster-installer-common,3
libsdl-net1.2-dev,2
libwavpack1,453
liblz1,36
libghc-vector-binary-instances-dev-0.2.5.2-49418,10
libghc-prettyprinter-ansi-terminal-dev,2
librust-crunchy-dev,1
maq,1
altermime,1
wob,2
quelcom,1
r-bioc-consensusclusterplus,2
task-northern-sami,1
libubsan1-sparc64-cross,36
librust-target-lexicon-dev,1
php-doctrine-cache,3
libosmo-mgcp-client9,7
aspell-is,1
libhd-dev,1
mu-cade-data,2
libhpdf-dev,3
xtermcontrol,1
python3-lib2to3,2227
haddock-interface-38,1072
diod,1
libdata-validate-ip-perl,33
pyspf-milter,1
tdiary-theme,3
durep,1
libmanette-0.2-dev,1
python3-uranium,3
libghc-dependent-sum-prof,1
libvsqlitepp-doc,1
golang-github-muesli-cancelreader-dev,1
libatomic1-arc-cross,19
libhx509-5-heimdal,25
python3-sphinx-gallery,3
libflathashmap-dev,1
libreoffice-help-fi,1
librust-byteorder-1+default-dev,37
gpgv2,1
r-cran-flexmix,2
libgtkdsv-3-dev,1
libqt5pdfwidgets5,3
libghc-haskell-gi-base-dev-0.26.2-a9663,46
ceilometer-instance-poller,1
libpcre-ocaml-dev,2
r-cran-eco,1
libghc-mersenne-random-pure64-prof,1
python3-urwid-readline,3
cmake-extras,27
libghc-recaptcha-dev,2
boolstuff-dev,1
libeclipse-swtchart-java,3
librc-dev,1
ruby-loofah,96
libghc-heterocephalus-doc,1
libdico2,8
libjs-gordon,1
eyes17-manuals-es,1
libsvgpp-doc,1
libghc-numbers-doc,1
liblomiri-action-qt1,6
librust-crossbeam-epoch+alloc-dev,1
librust-greetd-ipc-dev,5
libboost-serialization1.81.0,19
mmv,1
dictconv,3
librust-trybuild-dev,1
tkblt-dev,1
libghc-yi-keymap-vim-dev,2
librust-pcre2-sys-0.2+default-dev,1
libvorbisenc2,2659
libignition-common-av-dev,5
libghc-http-types-doc,1
libghc-random-source-dev,2
libmspack-dev,1
libsignon-glib-dev,1
vim-motif,4
saods9-doc,1
xd,1
helpviewer.app,1
r-cran-ttr,8
zsh-theme-powerlevel9k,1
gnustep-gui-doc,2
libopenal1,523
python3-pebble,2
cl-trivial-features,14
libghc-ghc-typelits-natnormalise-prof-0.7.7-a70c4,4
python3-acme-abi-2,20
puppet-module-debian-archvsync,1
kodi-pvr-zattoo,1
git-absorb,1
vim-ultisnips,1
librdf-query-perl,15
libn32gphobos3-mips64r6el-cross,4
libze-dev,1
libterm-twiddle-perl,1
r-bioc-biobase,101
librust-url-2+default-dev,27
colorize,1
libghc-doclayout-dev,2
libn32go19-mipsr6-cross,3
vpoll-dkms,1
python3-languagecodes,1
liblomiri-app-launch-dev,1
libiso9660-11,32
scilab-data,7
ncdu,6
utfout,1
gnome-shell-extension-dashtodock,1
libprefork-perl,7
q2-taxa,3
